image_name,score
0001.jpg,10
0002.jpg,35
0003.jpg,42
0004.jpg,10
0005.jpg,26
0010.jpg,28
0011.jpg,12
0012.jpg,9
0013.jpg,8
0014.jpg,23
0015.jpg,55
0016.jpg,7
0017.jpg,2
0018.jpg,28
0019.jpg,11
0020.jpg,11
0021.jpg,48
0022.jpg,38
0023.jpg,49
0024.jpg,78
0025.jpg,52
0026.jpg,41
0027.jpg,39
0028.jpg,25
0029.jpg,36
0030.jpg,23
0031.jpg,10
0032.jpg,29
0033.jpg,36
0034.jpg,89
0035.jpg,56
0036.jpg,56
0037.jpg,99
0038.jpg,95
0039.jpg,89
0040.jpg,45
0041.jpg,75
0041.jpg,82
0041.jpg,85
0042.jpg,77
0042.jpg,81
0043.jpg,60
0043.jpg,65
0044.jpg,77
0044.jpg,61
0045.jpg,63
0046.jpg,50
0046.jpg,60
0047.jpg,95
0048.jpg,100
0049.jpg,96
0050.jpg,87
0052.jpg,86
0067.jpg,77
0100.jpg,34
0101.jpg,23
0102.jpg,35
0103.jpg,35
0104.jpg,30
0105.jpg,41
0106.jpg,14
0107.jpg,20
0108.jpg,30
0109.jpg,26
0110.jpg,25
0111.jpg,27
0112.jpg,41
0113.jpg,37
0114.jpg,34
0115.jpg,33
0116.jpg,33
0117.jpg,32
0118.jpg,20
0119.jpg,21
0120.jpg,29
0121.jpg,24
0122.jpg,28
0123.jpg,36
0124.jpg,31
0125.jpg,36
0126.jpg,30
0127.jpg,29
0128.jpg,28
0129.jpg,44
0130.jpg,30
0131.jpg,42
0132.jpg,36
0133.jpg,29
0134.jpg,19
0135.jpg,28
0136.jpg,22
0137.jpg,23
0138.jpg,29
0139.jpg,2
0140.jpg,20
0141.jpg,41
0142.jpg,22
0143.jpg,31
0144.jpg,15
0145.jpg,16
0146.jpg,7
0147.jpg,8
0148.jpg,21
0149.jpg,33
0150.jpg,40
0151.jpg,39
0152.jpg,41
0153.jpg,36
